"ENTITY","YEAR","RECORDS LOST","ORGANISATION","METHOD OF LEAK","DATA SENSITIVITY","RECORDS LOST RANGE"
"Yahoo",2014,5e+08,"web","hacked","SSN/Personal Details","[14M - 2200M]"
"HSBC Turkey",2014,2700000,"financial","hacked","Full bank account details","[2,5M - 14M)"
"Korea Credit Bureau",2014,2e+07,"financial","inside job","Full bank account details","[14M - 2200M]"
"New York Taxis",2014,52000,"transport","poor security","Email/Online info","[1025 - 400K)"
"Mozilla",2014,76000,"web","poor security","SSN/Personal Details","[1025 - 400K)"
"Imgur",2014,1700000,"app","hacked","Email password/Health records","[400K - 2,5M)"
"Facebook",2014,5e+07,"web","hacked","Email/Online info","[14M - 2200M]"
"Australian Immigration Department",2015,5e+05,"government","accidentally published","Full bank account details","[400K - 2,5M)"
"Invest Bank",2015,40000,"financial","hacked","Full bank account details","[1025 - 400K)"
"IRS",2015,1e+05,"government","hacked","Email/Online info","[1025 - 400K)"
"TalkTalk",2015,157000,"web","hacked","SSN/Personal Details","[1025 - 400K)"
"MSpy",2015,4e+05,"tech","hacked","SSN/Personal Details","[400K - 2,5M)"
"British Airways",2015,5e+05,"retail","hacked","Email/Online info","[400K - 2,5M)"
"Hacking Team",2015,5e+05,"web","hacked","Full bank account details","[400K - 2,5M)"
"Slack",2015,5e+05,"tech","hacked","Email/Online info","[400K - 2,5M)"
"Carefirst",2015,1100000,"healthcare","hacked","Email/Online info","[400K - 2,5M)"
"CarPhone Warehouse",2015,2700000,"web","hacked","Full bank account details","[2,5M - 14M)"
"Adult Friend Finder",2015,3900000,"web","hacked","Email/Online info","[2,5M - 14M)"
"US Office of Personnel Management",2015,4e+06,"government","hacked","SSN/Personal Details","[2,5M - 14M)"
"VTech",2015,6400000,"web","hacked","Full bank account details","[2,5M - 14M)"
"Premera",2015,1.1e+07,"healthcare","hacked","Full bank account details","[2,5M - 14M)"
"Kromtech",2015,1.3e+07,"web","hacked","Email/Online info","[2,5M - 14M)"
"Experian / T-mobile",2015,1.5e+07,"web","hacked","Credit Card info","[14M - 2200M]"
"US Office of Personnel Management (2nd Breach)",2015,21500000,"government","hacked","Full bank account details","[14M - 2200M]"
"AshleyMadison.com",2015,3.7e+07,"web","hacked","Email/Online info","[14M - 2200M]"
"Securus Technologies",2015,7e+07,"web","hacked","Full bank account details","[14M - 2200M]"
"Uber",2015,50000,"tech","poor security","Email/Online info","[1025 - 400K)"
"Sanrio",2015,3300000,"web","poor security","SSN/Personal Details","[2,5M - 14M)"
"Deep Root Analytics",2015,1.98e+08,"web","poor security","SSN/Personal Details","[14M - 2200M]"
"RootsWeb",2015,3e+05,"web","poor security","Email password/Health records","[1025 - 400K)"
"Privatization Agency of the Republic of Serbia",2016,5190396,"government","accidentally published","SSN/Personal Details","[2,5M - 14M)"
"Syrian government",2016,274477,"government","hacked","Email/Online info","[1025 - 400K)"
"Minecraft",2016,7e+06,"web","hacked","Email/Online info","[2,5M - 14M)"
"Mossack Fonseca",2016,11500000,"legal","hacked","Full bank account details","[2,5M - 14M)"
"Mail. ru",2016,2.5e+07,"web","hacked","SSN/Personal Details","[14M - 2200M]"
"Fling",2016,4e+07,"web","hacked","Email password/Health records","[14M - 2200M]"
"Turkish citizenship database",2016,49611709,"government","hacked","SSN/Personal Details","[14M - 2200M]"
"Philippines’ Commission on Elections",2016,5.5e+07,"government","hacked","Full bank account details","[14M - 2200M]"
"Anthem ",2016,8e+07,"healthcare","hacked","SSN/Personal Details","[14M - 2200M]"
"VK",2016,100544934,"web","hacked","Email password/Health records","[14M - 2200M]"
"Wendy's",2016,1025,"retail","hacked","Credit Card info","[1025 - 400K)"
"MySpace",2016,1.64e+08,"web","hacked","Email/Online info","[14M - 2200M]"
"Linux Ubuntu forums",2016,2e+06,"web","hacked","Email/Online info","[400K - 2,5M)"
